@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute inputs-33 numeric
@attribute inputs-34 numeric
@attribute inputs-35 numeric
@attribute inputs-36 numeric
@attribute inputs-37 numeric
@attribute inputs-38 numeric
@attribute inputs-39 numeric
@attribute inputs-40 numeric
@attribute inputs-41 numeric
@attribute inputs-42 numeric
@attribute inputs-43 numeric
@attribute inputs-44 numeric
@attribute inputs-45 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric

@data
31,'2017/07/23 11:19:03:664',1,67.063705,795.733398,2685.571533,76.342918,585.763611,2673.439941,-74.712395,578.780762,2667.264893,-74.712227,296.495514,2667.264893,-74.712242,14.210327,2667.263672,227.398239,592.74646,2679.61499,227.398071,310.461212,2679.61499,227.398926,28.176025,2679.61499,86.835815,370.838654,2659.799316,-2.099046,151.317459,2642.094238,11.48984,-267.759277,2744.659912,11.624697,-601.543579,2653.17041,196.75647,160.509964,2650.223145,160.32637,-258.461609,2747.428223,179.897095,-605.075073,2692.196777,0,?
32,'2017/07/23 11:19:03:700',1,67.224083,801.106201,2688.004639,72.746704,590.311768,2674.732178,-78.481018,585.906128,2670.83667,-78.48085,303.62088,2670.83667,-78.480865,21.335693,2670.835693,223.974426,594.717407,2678.627686,223.974258,312.432159,2678.627686,223.975113,30.146973,2678.627686,79.386841,375.297729,2660.124023,-13.515848,157.383789,2642.95166,-5.282807,-261.951172,2745.039063,-3.739004,-595.912781,2654.987793,185.569794,163.183655,2648.080078,145.968994,-256.108887,2742.742676,165.178406,-602.531433,2692.643066,0,?
33,'2017/07/23 11:19:03:732',1,64.926437,805.031311,2687.269775,70.473518,593.585205,2674.143555,-80.629097,588.28186,2667.503662,-80.628929,305.996613,2667.503662,-80.628944,23.711426,2667.502686,221.576126,598.888672,2680.783447,221.575958,316.603424,2680.783447,221.576813,34.318237,2680.783447,78.679283,378.658264,2659.071289,-12.556079,160.241119,2639.62915,1.874913,-258.35965,2743.947998,9.279304,-599.035645,2653.219482,186.326172,167.221466,2648.368896,157.514435,-252.273041,2745.50293,177.460373,-599.476868,2694.162842,0,?
34,'2017/07/23 11:19:03:764',1,64.837288,800.235596,2687.846191,67.341721,589.199097,2674.260254,-83.927811,586.918335,2670.217041,-83.927643,304.633087,2670.217041,-83.927658,22.3479,2670.216309,218.611252,591.479858,2678.303467,218.611084,309.194611,2678.303467,218.611938,26.909424,2678.303467,71.005402,374.199432,2658.466309,-24.880009,157.698853,2640.011475,-13.153329,-259.803162,2748.999756,-4.66316,-605.369751,2658.645508,174.218185,160.700684,2645.333252,144.006607,-258.838562,2742.224609,165.229202,-613.153442,2691.397217,0,?
35,'2017/07/23 11:19:03:799',1,66.157051,798.963135,2689.146729,66.290482,588.361206,2674.502197,-85.019897,587.815918,2671.551514,-85.01973,305.53067,2671.551514,-85.019745,23.245483,2671.550781,217.600861,588.906494,2677.452881,217.600693,306.621246,2677.452881,217.601547,24.33606,2677.452881,67.403656,373.455933,2657.129395,-31.042021,158.191849,2637.814941,-7.282011,-259.230103,2744.595947,1.654316,-600.835693,2657.903809,168.075684,158.909439,2641.698242,151.087143,-261.162598,2738.797119,169.544708,-607.529663,2691.053223,0,?
36,'2017/07/23 11:19:03:831',1,64.718506,797.459045,2689.76001,63.380352,587.392395,2674.389404,-87.956451,588.100647,2673.828857,-87.956284,305.815399,2673.828857,-87.956299,23.530212,2673.828125,214.717163,586.684082,2674.949951,214.716995,304.398834,2674.949951,214.71785,22.113647,2674.949951,62.437897,372.468445,2657.249023,-38.097843,158.010635,2639.739746,-7.623882,-259.166077,2745.989258,0.876233,-601.231506,2661.470703,161.08873,157.078384,2640.477539,150.132309,-261.788757,2743.628174,167.329529,-606.597778,2694.12207,0,?
37,'2017/07/23 11:19:03:865',1,61.640686,792.341553,2679.662109,63.495983,581.874146,2668.118652,-87.708885,579.158936,2662.358398,-87.708717,296.873688,2662.358398,-87.708733,14.588501,2662.35791,214.700851,584.589294,2673.878906,214.700684,302.304047,2673.878906,214.701538,20.01886,2673.878906,67.857437,366.707153,2655.05127,-27.289593,149.753311,2638.193115,9.340424,-268.451782,2738.232178,18.263298,-610.162109,2657.724121,171.727371,153.327042,2645.774658,167.142471,-266.726135,2744.639893,186.799088,-608.515503,2697.959717,0,?
38,'2017/07/23 11:19:03:900',1,61.098412,791.224182,2674.614014,63.96933,580.645386,2665.214111,-86.930206,576.74176,2654.380859,-86.930038,294.456512,2654.380859,-86.930054,12.171326,2654.380371,214.868866,584.549011,2676.047363,214.868698,302.263763,2676.047363,214.869553,19.978577,2676.047363,70.292122,365.387695,2654.706543,-22.625648,147.562759,2637.074219,2.830042,-272.981873,2729.977783,12.389498,-603.581177,2658.407227,175.855469,152.697281,2651.32373,160.459106,-268.599365,2743.077148,180.842468,-604.009644,2697.819336,0,?
39,'2017/07/23 11:19:03:936',1,59.609497,791.127808,2672.093018,62.969986,580.279663,2664.328369,-87.50502,576.544678,2648.631592,-87.504852,294.25943,2648.631592,-87.504868,11.974243,2648.631104,213.444992,584.014771,2680.025146,213.444824,301.729523,2680.025146,213.445679,19.444336,2680.025146,69.313881,364.98053,2654.743164,-23.295092,147.225189,2634.835693,-2.612141,-274.254028,2725.175049,7.757785,-599.905396,2656.993896,174.610641,152.137543,2655.480225,155.247803,-270.84082,2738.473389,173.626907,-602.660889,2696.268555,0,?
40,'2017/07/23 11:19:03:964',1,60.105331,791.099609,2671.318115,63.292522,579.829773,2663.320557,-87.076988,576.929932,2646.483887,-87.07682,294.644684,2646.483887,-87.076836,12.359497,2646.483398,213.662033,582.729614,2680.157227,213.661865,300.444366,2680.157227,213.66272,18.15918,2680.157227,68.537811,364.509766,2653.55957,-25.103588,147.282715,2632.726318,-3.437481,-274.423523,2722.197021,4.923671,-601.090942,2657.512939,172.669785,151.096802,2654.87085,154.259018,-273.766174,2727.882324,173.498642,-606.969849,2693.951416,0,?
